Sales in thousands,4-year resale value,Prices,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,
0.11,20.94,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,
0.916,58.47,69.725,8,450,96.2,75.7,176.7,3.375,19,16,
0.954,18.07297521,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,
1.112,11.24,18.145,3.1,150,107,69.4,192,3.102,15.2,25,
1.28,60.625,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,
1.38,39,62,4.2,310,113,74,198.2,3.902,23.7,21,
1.526,18.07297521,41,2.3,185,94.5,67.5,157.3,2.975,14,27,
1.866,67.55,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,
1.872,18.07297521,43,3.5,253,113.3,76.3,165.4,2.85,12,21,
3.311,58.6,82.6,5,302,99,71.3,177.1,4.125,21.1,20,
3.334,18.07297521,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,
3.493,18.07297521,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,
3.545,18.07297521,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,
4.734,12.545,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,
5.223,10.79,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,
5.24,9.8,16.08,2,132,108,71,186.3,2.942,16,27,
5.596,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,
5.711,16.575,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,
6.375,40.375,54.005,4,290,112.2,72,196.7,3.89,22.5,22,
6.536,25.725,39.665,4.6,275,108,75.5,200.6,3.843,19,22,
7.854,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,
7.998,18.07297521,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,
8.472,18.07297521,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,
8.588,29.725,42,3.5,210,114.6,71.4,196.6,3.85,18,22,
8.982,41.25,41.43,2.7,217,95.2,70.1,171,2.778,17,22,
9.126,18.07297521,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,
9.191,18.07297521,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,
9.231,28.675,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,
9.569,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,
9.761,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,
9.835,34.08,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,
11.185,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,22,
11.337,19.125,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,
11.592,18.07297521,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,
12.115,18.07297521,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,
12.698,32.075,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,
12.855,17.525,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,
13.462,17.325,28.34,3.5,253,113,74.4,207.7,3.564,17,23,
13.798,20.525,39.08,4.6,275,109,73.6,208.5,3.868,20,22,
14.114,18.225,,3.2,225,106.9,70.6,192,3.47,17.2,26,
14.351,8.8,16.24,2,125,106.5,69.1,184.8,2.769,15,28,
14.69,19.89,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,
14.785,18.07297521,46.225,5.7,255,117.5,77,201.2,5.572,30,15,
15.245,18.07297521,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,
15.467,18.07297521,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,
15.943,27.1,44.475,4.6,275,112.2,75,201,,18.5,22,
16.767,15.51,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,
16.774,50.375,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,
16.919,16.36,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,
16.957,18.07297521,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,
17.527,36.125,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,
17.531,18.07297521,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,
17.947,36.225,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,
18.392,26.05,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,
18.78,23.555,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,
18.969,18.07297521,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,
19.747,18.07297521,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,
19.911,17.805,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,
20.017,19.925,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,
20.38,14.795,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,
20.397,22.255,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,
21.855,5.16,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,
22.925,18.07297521,42.66,5.4,300,119,79.9,204.8,5.393,30,15,
23.713,19.69,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,
24.072,26.975,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,
24.155,12.025,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,
24.361,15.24,25.345,3.4,185,120,72.2,201.4,3.948,25,22,
24.546,10.59,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,
24.629,10.31,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,
25.106,13.325,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,
26.232,8.325,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,
26.402,13.025,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,
26.529,13.89,16.54,2,125,106.4,69.6,185,2.892,16,30,
27.308,15.38,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,
27.602,41.45,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,
27.609,20.43,27.56,4,210,111.6,70.2,190.1,3.876,21,18,
27.851,20.19,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,
28.976,18.07297521,35.3,3.2,215,111,72.2,180.6,4.387,19,20,
29.45,8.91,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,
30.696,18.07297521,29.185,3.5,253,113,74.4,197.8,3.567,17,23,
31.038,13.425,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,
31.148,13.725,22.245,2.7,200,113,74.4,209.1,3.452,17,26,
32.299,9.125,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,
32.306,12.64,16.48,2,132,108,71,186,2.911,16,27,
32.734,7.75,12.64,2,132,105,74.4,174.4,2.559,12.5,29,
32.775,14.18,24.495,2.5,168,106,69.2,193,3.332,16,24,
33.028,18.07297521,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,
33.269,15.445,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,
35.068,8.835,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,
35.945,13.225,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,
38.554,18.07297521,24.15,3.5,215,109,73.6,195.9,3.455,18,,
39.348,13.88,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,
39.35,13.74,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,
39.384,19.875,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,
39.572,18.07297521,25.635,3.4,185,120,72.7,201.3,3.942,25,23,
41.184,5.86,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,
42.541,10.395,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,
42.574,17.81,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,
42.593,11.525,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,
42.643,8.45,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,
47.107,18.07297521,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,
48.911,21.725,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,
49.463,18.07297521,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,
49.989,18.07297521,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,
51.102,16.725,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,
51.238,18.07297521,34.605,3,220,103,71.5,180.1,3.9,17.2,21,
51.645,13.79,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,
53.48,19.54,,,185.9487179,,,,,,,
54.158,18.07297521,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,
55.557,13.475,14.46,2.5,120,93.4,66.7,152,3.045,19,17,
55.616,10.595,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,
63.403,14.21,22.195,4.6,200,114.7,78.2,212,3.908,19,21,
63.729,22.525,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,
63.849,18.14,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,
65.005,18.07297521,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,
65.119,18.07297521,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,
66.692,7.825,11.799,2,140,100.4,66.9,174,2.626,14.5,27,
67.956,11.03,19.035,3,153,108.5,73,199.7,3.379,16,24,
68.411,19.425,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,
70.227,7.425,12.07,2,110,98.4,67,174.7,2.468,12.7,30,
71.186,10.185,20.23,2.5,168,108,71,186,3.058,16,24,
73.203,17.71,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,
76.029,19.49,26,3.5,210,118.1,75.6,201.2,4.288,20,23,
76.034,7.75,12.64,2,132,105,74.4,174.4,2.567,12.5,29,
79.853,15.125,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,
80.255,18.07297521,18.27,2.4,150,107,70.1,186.7,2.958,15,27,
80.556,13.775,21.62,4,190,101.4,69.4,167.5,3.194,20,20,
80.62,9.2,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,
81.174,14.875,22.605,4.6,200,114.7,78.2,212,3.958,19,21,
83.257,13.36,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,
83.721,13.24,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,
84.087,9.575,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,
88.028,12.275,22.505,2.7,202,113,74.7,203.7,3.489,17,,
88.094,11.295,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,
91.561,12.475,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,
92.364,14.01,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,
101.323,18.07297521,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,
107.995,18.07297521,18.89,3.4,180,110.5,73,200,3.389,17,27,
111.313,11.26,16.98,2.5,120,131,71.5,215,3.557,22,19,
113.369,12.76,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,
125.338,23.575,36.135,4.6,240,119,78.7,204.6,4.808,26,16,
131.097,10.29,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,
135.126,11.225,16.535,3.1,170,107,69.4,190.4,3.051,15,25,
142.535,10.025,13.108,1.8,120,97,66.7,174,2.42,13.2,33,
145.519,9.25,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,
155.787,13.175,21.41,3,150,120.7,76.6,200.9,3.761,26,21,
157.04,18.81,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,
175.67,18.07297521,12.315,2,107,103,66.9,174.8,2.564,13.2,30,
181.749,12.025,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,
199.685,9.85,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,
220.65,7.85,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,
227.061,15.06,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,
230.902,13.21,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,
245.815,10.055,17.885,3,155,108.5,73,197.6,3.368,16,24,
247.994,13.245,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,
276.747,16.64,31.93,4,210,111.6,70.2,190.7,3.876,21,19,
540.561,15.075,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,
